well	group	cell
B1	ctl_blank	A
B2	ctl_untrt	A
B3	ctl_untrt	A
B4	ctl_untrt	A
B5	ctl_untrt	A
B6	ctl_untrt	A
B7	ctl_untrt	A
B8	ctl_untrt	A
B9	ctl_untrt	A
B10	ctl_untrt	A
B11	ctl_untrt	A
B12	ctl_blank	A
C1	ctl_blank	A
C2	ctl_untrt	A
C3	ctl_untrt	A
C4	ctl_untrt	A
C5	ctl_untrt	A
C6	ctl_untrt	A
C7	ctl_untrt	A
C8	ctl_untrt	A
C9	ctl_untrt	A
C10	ctl_untrt	A
C11	ctl_untrt	A
C12	ctl_blank	A
D1	ctl_blank	A
D2	NA	NA
D3	ctl_blank	A
D4	NA	NA
D5	ctl_blank	A
D6	NA	NA
D7	ctl_blank	A
D8	NA	NA
D9	ctl_blank	A
D10	NA	NA
D11	NA	NA
D12	ctl_blank	A
E1	ctl_blank	B
E2	ctl_untrt	B
E3	ctl_untrt	B
E4	ctl_untrt	B
E5	ctl_untrt	B
E6	ctl_untrt	B
E7	ctl_untrt	B
E8	ctl_untrt	B
E9	ctl_untrt	B
E10	ctl_untrt	B
E11	ctl_untrt	B
E12	ctl_blank	B
F1	ctl_blank	B
F2	ctl_untrt	B
F3	ctl_untrt	B
F4	ctl_untrt	B
F5	ctl_untrt	B
F6	ctl_untrt	B
F7	ctl_untrt	B
F8	ctl_untrt	B
F9	ctl_untrt	B
F10	ctl_untrt	B
F11	ctl_untrt	B
F12	ctl_blank	B
G1	ctl_blank	B
G2	NA	NA
G3	ctl_blank	B
G4	NA	NA
G5	ctl_blank	B
G6	NA	NA
G7	ctl_blank	B
G8	NA	NA
G9	ctl_blank	B
G10	NA	NA
G11	NA	NA
G12	ctl_blank	B
