well	group	cell
A1	NA	NA
A2	NA	NA
A3	NA	NA
A4	NA	NA
A5	NA	NA
A6	NA	NA
A7	NA	NA
A8	NA	NA
A9	NA	NA
A10	NA	NA
A11	NA	NA
A12	NA	NA
B1	NA	NA
B2	ctl_untrt	A
B3	ctl_untrt	A
B4	ctl_untrt	A
B5	ctl_untrt	A
B6	ctl_untrt	A
B7	ctl_untrt	A
B8	ctl_untrt	A
B9	ctl_untrt	A
B10	ctl_untrt	A
B11	ctl_untrt	A
B12	ctl_blank	B
C1	ctl_blank	A
C2	ctl_untrt	A
C3	ctl_untrt	A
C4	ctl_untrt	A
C5	ctl_untrt	A
C6	ctl_untrt	A
C7	ctl_untrt	A
C8	ctl_untrt	A
C9	ctl_untrt	A
C10	ctl_untrt	A
C11	ctl_untrt	A
C12	NA	NA
D1	NA	NA
D2	ctl_untrt	A
D3	ctl_untrt	A
D4	ctl_untrt	A
D5	ctl_untrt	A
D6	ctl_untrt	A
D7	ctl_untrt	A
D8	ctl_untrt	A
D9	ctl_untrt	A
D10	ctl_untrt	A
D11	ctl_untrt	A
D12	ctl_blank	B
E1	ctl_blank	A
E2	ctl_untrt	B
E3	ctl_untrt	B
E4	ctl_untrt	B
E5	ctl_untrt	B
E6	ctl_untrt	B
E7	ctl_untrt	B
E8	ctl_untrt	B
E9	ctl_untrt	B
E10	ctl_untrt	B
E11	ctl_untrt	B
E12	NA	NA
F1	NA	NA
F2	ctl_untrt	B
F3	ctl_untrt	B
F4	ctl_untrt	B
F5	ctl_untrt	B
F6	ctl_untrt	B
F7	ctl_untrt	B
F8	ctl_untrt	B
F9	ctl_untrt	B
F10	ctl_untrt	B
F11	ctl_untrt	B
F12	ctl_blank	B
G1	ctl_blank	A
G2	ctl_untrt	B
G3	ctl_untrt	B
G4	ctl_untrt	B
G5	ctl_untrt	B
G6	ctl_untrt	B
G7	ctl_untrt	B
G8	ctl_untrt	B
G9	ctl_untrt	B
G10	ctl_untrt	B
G11	ctl_untrt	B
G12	NA	NA
H1	NA	NA
H2	NA	NA
H3	NA	NA
H4	NA	NA
H5	NA	NA
H6	NA	NA
H7	NA	NA
H8	NA	NA
H9	NA	NA
H10	NA	NA
H11	NA	NA
H12	NA	NA
