well	group	cell
B1	ctl_blank	A
B2	ctl_untrt	A
B3	ctl_untrt	A
B4	ctl_untrt	A
B5	ctl_untrt	A
B6	ctl_untrt	A
B7	ctl_untrt	B
B8	ctl_untrt	B
B9	ctl_untrt	B
B10	ctl_untrt	B
B11	ctl_untrt	B
B12	ctl_blank	B
C1	ctl_blank	A
C2	ctl_untrt	A
C3	ctl_untrt	A
C4	ctl_untrt	A
C5	ctl_untrt	A
C6	ctl_untrt	A
C7	ctl_untrt	B
C8	ctl_untrt	B
C9	ctl_untrt	B
C10	ctl_untrt	B
C11	ctl_untrt	B
C12	ctl_blank	B
D1	ctl_blank	A
D2	ctl_untrt	A
D3	ctl_untrt	A
D4	ctl_untrt	A
D5	ctl_untrt	A
D6	ctl_untrt	A
D7	ctl_untrt	B
D8	ctl_untrt	B
D9	ctl_untrt	B
D10	ctl_untrt	B
D11	ctl_untrt	B
D12	ctl_blank	B
E1	ctl_blank	A
E2	ctl_untrt	A
E3	ctl_untrt	A
E4	ctl_untrt	A
E5	ctl_untrt	A
E6	ctl_untrt	A
E7	ctl_untrt	B
E8	ctl_untrt	B
E9	ctl_untrt	B
E10	ctl_untrt	B
E11	ctl_untrt	B
E12	ctl_blank	B
F1	ctl_blank	A
F2	ctl_untrt	A
F3	ctl_untrt	A
F4	ctl_untrt	A
F5	ctl_untrt	A
F6	ctl_untrt	A
F7	ctl_untrt	B
F8	ctl_untrt	B
F9	ctl_untrt	B
F10	ctl_untrt	B
F11	ctl_untrt	B
F12	ctl_blank	B
G1	ctl_blank	A
G2	ctl_untrt	A
G3	ctl_untrt	A
G4	ctl_untrt	A
G5	ctl_untrt	A
G6	ctl_untrt	A
G7	ctl_untrt	B
G8	ctl_untrt	B
G9	ctl_untrt	B
G10	ctl_untrt	B
G11	ctl_untrt	B
G12	ctl_blank	B
